schid,schname,keyword,keynum,monthorweek,index
0,mount st mary's university,mount st mary's university,1,2013-04-07 - 2013-04-13,15
0,mount st mary's university,mount st mary's university,1,2013-04-14 - 2013-04-20,18
0,mount st mary's university,mount st mary's university,1,2013-04-21 - 2013-04-27,13
0,mount st mary's university,mount st mary's university,1,2013-04-28 - 2013-05-04,12
0,mount st mary's university,mount st mary's university,1,2013-05-05 - 2013-05-11,18
0,mount st mary's university,mount st mary's university,1,2013-05-12 - 2013-05-18,11
0,mount st mary's university,mount st mary's university,1,2013-05-19 - 2013-05-25,12
0,mount st mary's university,mount st mary's university,1,2013-05-26 - 2013-06-01,8
0,mount st mary's university,mount st mary's university,1,2013-06-02 - 2013-06-08,12
0,mount st mary's university,mount st mary's university,1,2013-06-09 - 2013-06-15,13
0,mount st mary's university,mount st mary's university,1,2013-06-16 - 2013-06-22,14
0,mount st mary's university,mount st mary's university,1,2013-06-23 - 2013-06-29,19
0,mount st mary's university,mount st mary's university,1,2013-06-30 - 2013-07-06,11
0,mount st mary's university,mount st mary's university,1,2013-07-07 - 2013-07-13,20
0,mount st mary's university,mount st mary's university,1,2013-07-14 - 2013-07-20,26
0,mount st mary's university,mount st mary's university,1,2013-07-21 - 2013-07-27,19
0,mount st mary's university,mount st mary's university,1,2013-07-28 - 2013-08-03,19
0,mount st mary's university,mount st mary's university,1,2013-08-04 - 2013-08-10,21
0,mount st mary's university,mount st mary's university,1,2013-08-11 - 2013-08-17,16
0,mount st mary's university,mount st mary's university,1,2013-08-18 - 2013-08-24,45
0,mount st mary's university,mount st mary's university,1,2013-08-25 - 2013-08-31,16
0,mount st mary's university,mount st mary's university,1,2013-09-01 - 2013-09-07,43
0,mount st mary's university,mount st mary's university,1,2013-09-08 - 2013-09-14,20
0,mount st mary's university,mount st mary's university,1,2013-09-15 - 2013-09-21,23
0,mount st mary's university,mount st mary's university,1,2013-09-22 - 2013-09-28,26
0,mount st mary's university,mount st mary's university,1,2013-09-29 - 2013-10-05,26
0,mount st mary's university,mount st mary's university,1,2013-10-06 - 2013-10-12,23
0,mount st mary's university,mount st mary's university,1,2013-10-13 - 2013-10-19,18
0,mount st mary's university,mount st mary's university,1,2013-10-20 - 2013-10-26,15
0,mount st mary's university,mount st mary's university,1,2013-10-27 - 2013-11-02,23
0,mount st mary's university,mount st mary's university,1,2013-11-03 - 2013-11-09,43
0,mount st mary's university,mount st mary's university,1,2013-11-10 - 2013-11-16,22
0,mount st mary's university,mount st mary's university,1,2013-11-17 - 2013-11-23,20
0,mount st mary's university,mount st mary's university,1,2013-11-24 - 2013-11-30,16
0,mount st mary's university,mount st mary's university,1,2013-12-01 - 2013-12-07,31
0,mount st mary's university,mount st mary's university,1,2013-12-08 - 2013-12-14,15
0,mount st mary's university,mount st mary's university,1,2013-12-15 - 2013-12-21,19
0,mount st mary's university,mount st mary's university,1,2013-12-22 - 2013-12-28,18
0,mount st mary's university,mount st mary's university,1,2013-12-29 - 2014-01-04,20
0,mount st mary's university,mount st mary's university,1,2014-01-05 - 2014-01-11,25
0,mount st mary's university,mount st mary's university,1,2014-01-12 - 2014-01-18,37
0,mount st mary's university,mount st mary's university,1,2014-01-19 - 2014-01-25,32
0,mount st mary's university,mount st mary's university,1,2014-01-26 - 2014-02-01,24
0,mount st mary's university,mount st mary's university,1,2014-02-02 - 2014-02-08,12
0,mount st mary's university,mount st mary's university,1,2014-02-09 - 2014-02-15,19
0,mount st mary's university,mount st mary's university,1,2014-02-16 - 2014-02-22,17
0,mount st mary's university,mount st mary's university,1,2014-02-23 - 2014-03-01,11
0,mount st mary's university,mount st mary's university,1,2014-03-02 - 2014-03-08,24
0,mount st mary's university,mount st mary's university,1,2014-03-09 - 2014-03-15,42
0,mount st mary's university,mount st mary's university,1,2014-03-16 - 2014-03-22,64
0,mount st mary's university,mount st mary's university,1,2014-03-23 - 2014-03-29,24
0,mount st mary's university,mount st mary's university,1,2014-03-30 - 2014-04-05,24
0,mount st mary's university,mount st mary's university,1,2014-04-06 - 2014-04-12,34
0,mount st mary's university,mount st mary's university,1,2014-04-13 - 2014-04-19,10
0,mount st mary's university,mount st mary's university,1,2014-04-20 - 2014-04-26,17
0,mount st mary's university,mount st mary's university,1,2014-04-27 - 2014-05-03,29
0,mount st mary's university,mount st mary's university,1,2014-05-04 - 2014-05-10,13
0,mount st mary's university,mount st mary's university,1,2014-05-11 - 2014-05-17,30
0,mount st mary's university,mount st mary's university,1,2014-05-18 - 2014-05-24,41
0,mount st mary's university,mount st mary's university,1,2014-05-25 - 2014-05-31,24
0,mount st mary's university,mount st mary's university,1,2014-06-01 - 2014-06-07,12
0,mount st mary's university,mount st mary's university,1,2014-06-08 - 2014-06-14,17
0,mount st mary's university,mount st mary's university,1,2014-06-15 - 2014-06-21,15
0,mount st mary's university,mount st mary's university,1,2014-06-22 - 2014-06-28,15
0,mount st mary's university,mount st mary's university,1,2014-06-29 - 2014-07-05,12
0,mount st mary's university,mount st mary's university,1,2014-07-06 - 2014-07-12,29
0,mount st mary's university,mount st mary's university,1,2014-07-13 - 2014-07-19,17
0,mount st mary's university,mount st mary's university,1,2014-07-20 - 2014-07-26,9
0,mount st mary's university,mount st mary's university,1,2014-07-27 - 2014-08-02,17
