schid,schname,keyword,keynum,monthorweek,index
15,pontifical catholic university of puerto rico - ponce,pucpr.edu,2,2013-04-07 - 2013-04-13,63
15,pontifical catholic university of puerto rico - ponce,pucpr.edu,2,2013-04-14 - 2013-04-20,48
15,pontifical catholic university of puerto rico - ponce,pucpr.edu,2,2013-04-21 - 2013-04-27,39
15,pontifical catholic university of puerto rico - ponce,pucpr.edu,2,2013-04-28 - 2013-05-04,63
15,pontifical catholic university of puerto rico - ponce,pucpr.edu,2,2013-05-05 - 2013-05-11,74
15,pontifical catholic university of puerto rico - ponce,pucpr.edu,2,2013-05-12 - 2013-05-18,100
15,pontifical catholic university of puerto rico - ponce,pucpr.edu,2,2013-05-19 - 2013-05-25,60
15,pontifical catholic university of puerto rico - ponce,pucpr.edu,2,2013-05-26 - 2013-06-01,31
15,pontifical catholic university of puerto rico - ponce,pucpr.edu,2,2013-06-02 - 2013-06-08,55
15,pontifical catholic university of puerto rico - ponce,pucpr.edu,2,2013-06-09 - 2013-06-15,35
15,pontifical catholic university of puerto rico - ponce,pucpr.edu,2,2013-06-16 - 2013-06-22,23
15,pontifical catholic university of puerto rico - ponce,pucpr.edu,2,2013-06-23 - 2013-06-29,23
15,pontifical catholic university of puerto rico - ponce,pucpr.edu,2,2013-06-30 - 2013-07-06,66
15,pontifical catholic university of puerto rico - ponce,pucpr.edu,2,2013-07-07 - 2013-07-13,50
15,pontifical catholic university of puerto rico - ponce,pucpr.edu,2,2013-07-14 - 2013-07-20,15
15,pontifical catholic university of puerto rico - ponce,pucpr.edu,2,2013-07-21 - 2013-07-27,15
15,pontifical catholic university of puerto rico - ponce,pucpr.edu,2,2013-07-28 - 2013-08-03,40
15,pontifical catholic university of puerto rico - ponce,pucpr.edu,2,2013-08-04 - 2013-08-10,25
15,pontifical catholic university of puerto rico - ponce,pucpr.edu,2,2013-08-11 - 2013-08-17,35
15,pontifical catholic university of puerto rico - ponce,pucpr.edu,2,2013-08-18 - 2013-08-24,79
15,pontifical catholic university of puerto rico - ponce,pucpr.edu,2,2013-08-25 - 2013-08-31,44
15,pontifical catholic university of puerto rico - ponce,pucpr.edu,2,2013-09-01 - 2013-09-07,54
