schid,schname,keyword,keynum,monthorweek,index
0,california college san diego,california college san diego,1,2013-03-31 - 2013-04-06,86
0,california college san diego,california college san diego,1,2013-04-07 - 2013-04-13,69
0,california college san diego,california college san diego,1,2013-04-14 - 2013-04-20,72
0,california college san diego,california college san diego,1,2013-04-21 - 2013-04-27,78
0,california college san diego,california college san diego,1,2013-04-28 - 2013-05-04,78
0,california college san diego,california college san diego,1,2013-05-05 - 2013-05-11,80
0,california college san diego,california college san diego,1,2013-05-12 - 2013-05-18,83
0,california college san diego,california college san diego,1,2013-05-19 - 2013-05-25,74
0,california college san diego,california college san diego,1,2013-05-26 - 2013-06-01,73
0,california college san diego,california college san diego,1,2013-06-02 - 2013-06-08,68
0,california college san diego,california college san diego,1,2013-06-09 - 2013-06-15,76
0,california college san diego,california college san diego,1,2013-06-16 - 2013-06-22,81
0,california college san diego,california college san diego,1,2013-06-23 - 2013-06-29,73
0,california college san diego,california college san diego,1,2013-06-30 - 2013-07-06,74
0,california college san diego,california college san diego,1,2013-07-07 - 2013-07-13,75
0,california college san diego,california college san diego,1,2013-07-14 - 2013-07-20,76
0,california college san diego,california college san diego,1,2013-07-21 - 2013-07-27,75
0,california college san diego,california college san diego,1,2013-07-28 - 2013-08-03,78
0,california college san diego,california college san diego,1,2013-08-04 - 2013-08-10,67
0,california college san diego,california college san diego,1,2013-08-11 - 2013-08-17,71
0,california college san diego,california college san diego,1,2013-08-18 - 2013-08-24,71
0,california college san diego,california college san diego,1,2013-08-25 - 2013-08-31,79
0,california college san diego,california college san diego,1,2013-09-01 - 2013-09-07,68
0,california college san diego,california college san diego,1,2013-09-08 - 2013-09-14,78
0,california college san diego,california college san diego,1,2013-09-15 - 2013-09-21,72
0,california college san diego,california college san diego,1,2013-09-22 - 2013-09-28,78
0,california college san diego,california college san diego,1,2013-09-29 - 2013-10-05,80
0,california college san diego,california college san diego,1,2013-10-06 - 2013-10-12,79
0,california college san diego,california college san diego,1,2013-10-13 - 2013-10-19,79
0,california college san diego,california college san diego,1,2013-10-20 - 2013-10-26,76
0,california college san diego,california college san diego,1,2013-10-27 - 2013-11-02,61
0,california college san diego,california college san diego,1,2013-11-03 - 2013-11-09,76
0,california college san diego,california college san diego,1,2013-11-10 - 2013-11-16,71
0,california college san diego,california college san diego,1,2013-11-17 - 2013-11-23,80
0,california college san diego,california college san diego,1,2013-11-24 - 2013-11-30,60
0,california college san diego,california college san diego,1,2013-12-01 - 2013-12-07,81
0,california college san diego,california college san diego,1,2013-12-08 - 2013-12-14,59
0,california college san diego,california college san diego,1,2013-12-15 - 2013-12-21,52
0,california college san diego,california college san diego,1,2013-12-22 - 2013-12-28,36
0,california college san diego,california college san diego,1,2013-12-29 - 2014-01-04,66
0,california college san diego,california college san diego,1,2014-01-05 - 2014-01-11,100
0,california college san diego,california college san diego,1,2014-01-12 - 2014-01-18,70
0,california college san diego,california college san diego,1,2014-01-19 - 2014-01-25,80
0,california college san diego,california college san diego,1,2014-01-26 - 2014-02-01,95
0,california college san diego,california college san diego,1,2014-02-02 - 2014-02-08,65
0,california college san diego,california college san diego,1,2014-02-09 - 2014-02-15,88
0,california college san diego,california college san diego,1,2014-02-16 - 2014-02-22,72
0,california college san diego,california college san diego,1,2014-02-23 - 2014-03-01,82
0,california college san diego,california college san diego,1,2014-03-02 - 2014-03-08,78
0,california college san diego,california college san diego,1,2014-03-09 - 2014-03-15,76
0,california college san diego,california college san diego,1,2014-03-16 - 2014-03-22,73
0,california college san diego,california college san diego,1,2014-03-23 - 2014-03-29,79
0,california college san diego,california college san diego,1,2014-03-30 - 2014-04-05,78
0,california college san diego,california college san diego,1,2014-04-06 - 2014-04-12,72
0,california college san diego,california college san diego,1,2014-04-13 - 2014-04-19,64
0,california college san diego,california college san diego,1,2014-04-20 - 2014-04-26,58
0,california college san diego,california college san diego,1,2014-04-27 - 2014-05-03,60
0,california college san diego,california college san diego,1,2014-05-04 - 2014-05-10,73
0,california college san diego,california college san diego,1,2014-05-11 - 2014-05-17,71
0,california college san diego,california college san diego,1,2014-05-18 - 2014-05-24,77
0,california college san diego,california college san diego,1,2014-05-25 - 2014-05-31,73
0,california college san diego,california college san diego,1,2014-06-01 - 2014-06-07,63
0,california college san diego,california college san diego,1,2014-06-08 - 2014-06-14,68
0,california college san diego,california college san diego,1,2014-06-15 - 2014-06-21,65
0,california college san diego,california college san diego,1,2014-06-22 - 2014-06-28,66
0,california college san diego,california college san diego,1,2014-06-29 - 2014-07-05,59
0,california college san diego,california college san diego,1,2014-07-06 - 2014-07-12,63
0,california college san diego,california college san diego,1,2014-07-13 - 2014-07-19,67
0,california college san diego,california college san diego,1,2014-07-20 - 2014-07-26,60
0,california college san diego,california college san diego,1,2014-07-27 - 2014-08-02,77
0,california college san diego,california college san diego,1,2014-08-03 - 2014-08-09,70
0,california college san diego,california college san diego,1,2014-08-10 - 2014-08-16,69
0,california college san diego,california college san diego,1,2014-08-17 - 2014-08-23,78
0,california college san diego,california college san diego,1,2014-08-24 - 2014-08-30,78
0,california college san diego,california college san diego,1,2014-08-31 - 2014-09-06,67
0,california college san diego,california college san diego,1,2014-09-07 - 2014-09-13,75
0,california college san diego,california college san diego,1,2014-09-14 - 2014-09-20,72
0,california college san diego,california college san diego,1,2014-09-21 - 2014-09-27,80
0,california college san diego,california college san diego,1,2014-09-28 - 2014-10-04,75
0,california college san diego,california college san diego,1,2014-10-05 - 2014-10-11,68
0,california college san diego,california college san diego,1,2014-10-12 - 2014-10-18,61
0,california college san diego,california college san diego,1,2014-10-19 - 2014-10-25,76
0,california college san diego,california college san diego,1,2014-10-26 - 2014-11-01,73
0,california college san diego,california college san diego,1,2014-11-02 - 2014-11-08,75
0,california college san diego,california college san diego,1,2014-11-09 - 2014-11-15,58
0,california college san diego,california college san diego,1,2014-11-16 - 2014-11-22,67
0,california college san diego,california college san diego,1,2014-11-23 - 2014-11-29,56
0,california college san diego,california college san diego,1,2014-11-30 - 2014-12-06,59
0,california college san diego,california college san diego,1,2014-12-07 - 2014-12-13,58
0,california college san diego,california college san diego,1,2014-12-14 - 2014-12-20,64
