schid,schname,keyword,keynum,monthorweek,index
1,the university of texas medical branch,utmb.edu,2,2014-08-10 - 2014-08-16,46
1,the university of texas medical branch,utmb.edu,2,2014-08-17 - 2014-08-23,56
1,the university of texas medical branch,utmb.edu,2,2014-08-24 - 2014-08-30,46
1,the university of texas medical branch,utmb.edu,2,2014-08-31 - 2014-09-06,51
1,the university of texas medical branch,utmb.edu,2,2014-09-07 - 2014-09-13,44
1,the university of texas medical branch,utmb.edu,2,2014-09-14 - 2014-09-20,42
1,the university of texas medical branch,utmb.edu,2,2014-09-21 - 2014-09-27,50
1,the university of texas medical branch,utmb.edu,2,2014-09-28 - 2014-10-04,47
1,the university of texas medical branch,utmb.edu,2,2014-10-05 - 2014-10-11,50
1,the university of texas medical branch,utmb.edu,2,2014-10-12 - 2014-10-18,28
1,the university of texas medical branch,utmb.edu,2,2014-10-19 - 2014-10-25,49
1,the university of texas medical branch,utmb.edu,2,2014-10-26 - 2014-11-01,44
1,the university of texas medical branch,utmb.edu,2,2014-11-02 - 2014-11-08,43
1,the university of texas medical branch,utmb.edu,2,2014-11-09 - 2014-11-15,76
1,the university of texas medical branch,utmb.edu,2,2014-11-16 - 2014-11-22,63
1,the university of texas medical branch,utmb.edu,2,2014-11-23 - 2014-11-29,43
1,the university of texas medical branch,utmb.edu,2,2014-11-30 - 2014-12-06,42
1,the university of texas medical branch,utmb.edu,2,2014-12-07 - 2014-12-13,51
1,the university of texas medical branch,utmb.edu,2,2014-12-14 - 2014-12-20,25
1,the university of texas medical branch,utmb.edu,2,2014-12-21 - 2014-12-27,49
1,the university of texas medical branch,utmb.edu,2,2014-12-28 - 2015-01-03,37
1,the university of texas medical branch,utmb.edu,2,2015-01-04 - 2015-01-10,41
1,the university of texas medical branch,utmb.edu,2,2015-01-11 - 2015-01-17,30
1,the university of texas medical branch,utmb.edu,2,2015-01-18 - 2015-01-24,33
1,the university of texas medical branch,utmb.edu,2,2015-01-25 - 2015-01-31,40
1,the university of texas medical branch,utmb.edu,2,2015-02-01 - 2015-02-07,55
1,the university of texas medical branch,utmb.edu,2,2015-02-08 - 2015-02-14,34
1,the university of texas medical branch,utmb.edu,2,2015-02-15 - 2015-02-21,27
1,the university of texas medical branch,utmb.edu,2,2015-02-22 - 2015-02-28,29
1,the university of texas medical branch,utmb.edu,2,2015-03-01 - 2015-03-07,31
1,the university of texas medical branch,utmb.edu,2,2015-03-08 - 2015-03-14,24
1,the university of texas medical branch,utmb.edu,2,2015-03-15 - 2015-03-21,30
1,the university of texas medical branch,utmb.edu,2,2015-03-22 - 2015-03-28,21
1,the university of texas medical branch,utmb.edu,2,2015-03-29 - 2015-04-04,22
1,the university of texas medical branch,utmb.edu,2,2015-04-05 - 2015-04-11,33
1,the university of texas medical branch,utmb.edu,2,2015-04-12 - 2015-04-18,20
1,the university of texas medical branch,utmb.edu,2,2015-04-19 - 2015-04-25,41
1,the university of texas medical branch,utmb.edu,2,2015-04-26 - 2015-05-02,19
1,the university of texas medical branch,utmb.edu,2,2015-05-03 - 2015-05-09,21
1,the university of texas medical branch,utmb.edu,2,2015-05-10 - 2015-05-16,31
1,the university of texas medical branch,utmb.edu,2,2015-05-17 - 2015-05-23,23
1,the university of texas medical branch,utmb.edu,2,2015-05-24 - 2015-05-30,27
1,the university of texas medical branch,utmb.edu,2,2015-05-31 - 2015-06-06,31
1,the university of texas medical branch,utmb.edu,2,2015-06-07 - 2015-06-13,42
1,the university of texas medical branch,utmb.edu,2,2015-06-14 - 2015-06-20,41
1,the university of texas medical branch,utmb.edu,2,2015-06-21 - 2015-06-27,41
1,the university of texas medical branch,utmb.edu,2,2015-06-28 - 2015-07-04,52
1,the university of texas medical branch,utmb.edu,2,2015-07-05 - 2015-07-11,24
1,the university of texas medical branch,utmb.edu,2,2015-07-12 - 2015-07-18,15
1,the university of texas medical branch,utmb.edu,2,2015-07-19 - 2015-07-25,57
1,the university of texas medical branch,utmb.edu,2,2015-07-26 - 2015-08-01,23
1,the university of texas medical branch,utmb.edu,2,2015-08-02 - 2015-08-08,27
1,the university of texas medical branch,utmb.edu,2,2015-08-09 - 2015-08-15,26
1,the university of texas medical branch,utmb.edu,2,2015-08-16 - 2015-08-22,23
1,the university of texas medical branch,utmb.edu,2,2015-08-23 - 2015-08-29,23
1,the university of texas medical branch,utmb.edu,2,2015-08-30 - 2015-09-05,39
1,the university of texas medical branch,utmb.edu,2,2015-09-06 - 2015-09-12,34
1,the university of texas medical branch,utmb.edu,2,2015-09-13 - 2015-09-19,22
1,the university of texas medical branch,utmb.edu,2,2015-09-20 - 2015-09-26,33
1,the university of texas medical branch,utmb.edu,2,2015-09-27 - 2015-10-03,24
1,the university of texas medical branch,utmb.edu,2,2015-10-04 - 2015-10-10,35
1,the university of texas medical branch,utmb.edu,2,2015-10-11 - 2015-10-17,35
1,the university of texas medical branch,utmb.edu,2,2015-10-18 - 2015-10-24,28
1,the university of texas medical branch,utmb.edu,2,2015-10-25 - 2015-10-31,28
1,the university of texas medical branch,utmb.edu,2,2015-11-01 - 2015-11-07,8
1,the university of texas medical branch,utmb.edu,2,2015-11-08 - 2015-11-14,28
1,the university of texas medical branch,utmb.edu,2,2015-11-15 - 2015-11-21,24
1,the university of texas medical branch,utmb.edu,2,2015-11-22 - 2015-11-28,17
1,the university of texas medical branch,utmb.edu,2,2015-11-29 - 2015-12-05,28
1,the university of texas medical branch,utmb.edu,2,2015-12-06 - 2015-12-12,43
1,the university of texas medical branch,utmb.edu,2,2015-12-13 - 2015-12-19,16
1,the university of texas medical branch,utmb.edu,2,2015-12-20 - 2015-12-26,16
1,the university of texas medical branch,utmb.edu,2,2015-12-27 - 2016-01-02,27
1,the university of texas medical branch,utmb.edu,2,2016-01-03 - 2016-01-09,21
1,the university of texas medical branch,utmb.edu,2,2016-01-10 - 2016-01-16,25
1,the university of texas medical branch,utmb.edu,2,2016-01-17 - 2016-01-23,23
1,the university of texas medical branch,utmb.edu,2,2016-01-24 - 2016-01-30,30
1,the university of texas medical branch,utmb.edu,2,2016-01-31 - 2016-02-06,20
1,the university of texas medical branch,utmb.edu,2,2016-02-07 - 2016-02-13,18
1,the university of texas medical branch,utmb.edu,2,2016-02-14 - 2016-02-20,18
1,the university of texas medical branch,utmb.edu,2,2016-02-21 - 2016-02-27,34
1,the university of texas medical branch,utmb.edu,2,2016-02-28 - 2016-03-05,33
1,the university of texas medical branch,utmb.edu,2,2016-03-06 - 2016-03-12,53
1,the university of texas medical branch,utmb.edu,2,2016-03-13 - 2016-03-19,53
1,the university of texas medical branch,utmb.edu,2,2016-03-20 - 2016-03-26,64
3,the university of texas medical branch,university texas medical branch,4,2013-03-31 - 2013-04-06,74
3,the university of texas medical branch,university texas medical branch,4,2013-04-07 - 2013-04-13,68
3,the university of texas medical branch,university texas medical branch,4,2013-04-14 - 2013-04-20,74
3,the university of texas medical branch,university texas medical branch,4,2013-04-21 - 2013-04-27,100
3,the university of texas medical branch,university texas medical branch,4,2013-04-28 - 2013-05-04,59
3,the university of texas medical branch,university texas medical branch,4,2013-05-05 - 2013-05-11,76
3,the university of texas medical branch,university texas medical branch,4,2013-05-12 - 2013-05-18,53
3,the university of texas medical branch,university texas medical branch,4,2013-05-19 - 2013-05-25,60
3,the university of texas medical branch,university texas medical branch,4,2013-05-26 - 2013-06-01,63
3,the university of texas medical branch,university texas medical branch,4,2013-06-02 - 2013-06-08,56
3,the university of texas medical branch,university texas medical branch,4,2013-06-09 - 2013-06-15,51
3,the university of texas medical branch,university texas medical branch,4,2013-06-16 - 2013-06-22,84
3,the university of texas medical branch,university texas medical branch,4,2013-06-23 - 2013-06-29,64
3,the university of texas medical branch,university texas medical branch,4,2013-06-30 - 2013-07-06,44
3,the university of texas medical branch,university texas medical branch,4,2013-07-07 - 2013-07-13,54
3,the university of texas medical branch,university texas medical branch,4,2013-07-14 - 2013-07-20,43
3,the university of texas medical branch,university texas medical branch,4,2013-07-21 - 2013-07-27,58
3,the university of texas medical branch,university texas medical branch,4,2013-07-28 - 2013-08-03,68
3,the university of texas medical branch,university texas medical branch,4,2013-08-04 - 2013-08-10,58
3,the university of texas medical branch,university texas medical branch,4,2013-08-11 - 2013-08-17,68
3,the university of texas medical branch,university texas medical branch,4,2013-08-18 - 2013-08-24,93
3,the university of texas medical branch,university texas medical branch,4,2013-08-25 - 2013-08-31,78
3,the university of texas medical branch,university texas medical branch,4,2013-09-01 - 2013-09-07,83
3,the university of texas medical branch,university texas medical branch,4,2013-09-08 - 2013-09-14,64
3,the university of texas medical branch,university texas medical branch,4,2013-09-15 - 2013-09-21,92
3,the university of texas medical branch,university texas medical branch,4,2013-09-22 - 2013-09-28,44
3,the university of texas medical branch,university texas medical branch,4,2013-09-29 - 2013-10-05,46
3,the university of texas medical branch,university texas medical branch,4,2013-10-06 - 2013-10-12,88
3,the university of texas medical branch,university texas medical branch,4,2013-10-13 - 2013-10-19,68
3,the university of texas medical branch,university texas medical branch,4,2013-10-20 - 2013-10-26,76
3,the university of texas medical branch,university texas medical branch,4,2013-10-27 - 2013-11-02,67
3,the university of texas medical branch,university texas medical branch,4,2013-11-03 - 2013-11-09,73
3,the university of texas medical branch,university texas medical branch,4,2013-11-10 - 2013-11-16,59
3,the university of texas medical branch,university texas medical branch,4,2013-11-17 - 2013-11-23,47
3,the university of texas medical branch,university texas medical branch,4,2013-11-24 - 2013-11-30,53
3,the university of texas medical branch,university texas medical branch,4,2013-12-01 - 2013-12-07,56
3,the university of texas medical branch,university texas medical branch,4,2013-12-08 - 2013-12-14,52
3,the university of texas medical branch,university texas medical branch,4,2013-12-15 - 2013-12-21,47
3,the university of texas medical branch,university texas medical branch,4,2013-12-22 - 2013-12-28,28
3,the university of texas medical branch,university texas medical branch,4,2013-12-29 - 2014-01-04,32
3,the university of texas medical branch,university texas medical branch,4,2014-01-05 - 2014-01-11,45
3,the university of texas medical branch,university texas medical branch,4,2014-01-12 - 2014-01-18,55
3,the university of texas medical branch,university texas medical branch,4,2014-01-19 - 2014-01-25,55
3,the university of texas medical branch,university texas medical branch,4,2014-01-26 - 2014-02-01,61
3,the university of texas medical branch,university texas medical branch,4,2014-02-02 - 2014-02-08,55
3,the university of texas medical branch,university texas medical branch,4,2014-02-09 - 2014-02-15,37
3,the university of texas medical branch,university texas medical branch,4,2014-02-16 - 2014-02-22,48
3,the university of texas medical branch,university texas medical branch,4,2014-02-23 - 2014-03-01,54
3,the university of texas medical branch,university texas medical branch,4,2014-03-02 - 2014-03-08,43
3,the university of texas medical branch,university texas medical branch,4,2014-03-09 - 2014-03-15,49
3,the university of texas medical branch,university texas medical branch,4,2014-03-16 - 2014-03-22,56
3,the university of texas medical branch,university texas medical branch,4,2014-03-23 - 2014-03-29,48
3,the university of texas medical branch,university texas medical branch,4,2014-03-30 - 2014-04-05,61
3,the university of texas medical branch,university texas medical branch,4,2014-04-06 - 2014-04-12,56
3,the university of texas medical branch,university texas medical branch,4,2014-04-13 - 2014-04-19,67
3,the university of texas medical branch,university texas medical branch,4,2014-04-20 - 2014-04-26,45
3,the university of texas medical branch,university texas medical branch,4,2014-04-27 - 2014-05-03,59
3,the university of texas medical branch,university texas medical branch,4,2014-05-04 - 2014-05-10,46
3,the university of texas medical branch,university texas medical branch,4,2014-05-11 - 2014-05-17,43
3,the university of texas medical branch,university texas medical branch,4,2014-05-18 - 2014-05-24,52
3,the university of texas medical branch,university texas medical branch,4,2014-05-25 - 2014-05-31,56
3,the university of texas medical branch,university texas medical branch,4,2014-06-01 - 2014-06-07,45
3,the university of texas medical branch,university texas medical branch,4,2014-06-08 - 2014-06-14,55
3,the university of texas medical branch,university texas medical branch,4,2014-06-15 - 2014-06-21,53
3,the university of texas medical branch,university texas medical branch,4,2014-06-22 - 2014-06-28,40
3,the university of texas medical branch,university texas medical branch,4,2014-06-29 - 2014-07-05,56
3,the university of texas medical branch,university texas medical branch,4,2014-07-06 - 2014-07-12,53
3,the university of texas medical branch,university texas medical branch,4,2014-07-13 - 2014-07-19,63
3,the university of texas medical branch,university texas medical branch,4,2014-07-20 - 2014-07-26,69
3,the university of texas medical branch,university texas medical branch,4,2014-07-27 - 2014-08-02,91
3,the university of texas medical branch,university texas medical branch,4,2014-08-03 - 2014-08-09,47
3,the university of texas medical branch,university texas medical branch,4,2014-08-10 - 2014-08-16,56
3,the university of texas medical branch,university texas medical branch,4,2014-08-17 - 2014-08-23,69
3,the university of texas medical branch,university texas medical branch,4,2014-08-24 - 2014-08-30,59
3,the university of texas medical branch,university texas medical branch,4,2014-08-31 - 2014-09-06,55
3,the university of texas medical branch,university texas medical branch,4,2014-09-07 - 2014-09-13,75
3,the university of texas medical branch,university texas medical branch,4,2014-09-14 - 2014-09-20,83
3,the university of texas medical branch,university texas medical branch,4,2014-09-21 - 2014-09-27,42
3,the university of texas medical branch,university texas medical branch,4,2014-09-28 - 2014-10-04,78
3,the university of texas medical branch,university texas medical branch,4,2014-10-05 - 2014-10-11,71
3,the university of texas medical branch,university texas medical branch,4,2014-10-12 - 2014-10-18,61
3,the university of texas medical branch,university texas medical branch,4,2014-10-19 - 2014-10-25,58
3,the university of texas medical branch,university texas medical branch,4,2014-10-26 - 2014-11-01,49
3,the university of texas medical branch,university texas medical branch,4,2014-11-02 - 2014-11-08,48
3,the university of texas medical branch,university texas medical branch,4,2014-11-09 - 2014-11-15,57
3,the university of texas medical branch,university texas medical branch,4,2014-11-16 - 2014-11-22,50
3,the university of texas medical branch,university texas medical branch,4,2014-11-23 - 2014-11-29,28
3,the university of texas medical branch,university texas medical branch,4,2014-11-30 - 2014-12-06,41
3,the university of texas medical branch,university texas medical branch,4,2014-12-07 - 2014-12-13,57
3,the university of texas medical branch,university texas medical branch,4,2014-12-14 - 2014-12-20,57
3,the university of texas medical branch,university texas medical branch,4,2014-12-21 - 2014-12-27,35
3,the university of texas medical branch,university texas medical branch,4,2014-12-28 - 2015-01-03,14
3,the university of texas medical branch,university texas medical branch,4,2015-01-04 - 2015-01-10,65
3,the university of texas medical branch,university texas medical branch,4,2015-01-11 - 2015-01-17,53
3,the university of texas medical branch,university texas medical branch,4,2015-01-18 - 2015-01-24,53
3,the university of texas medical branch,university texas medical branch,4,2015-01-25 - 2015-01-31,56
3,the university of texas medical branch,university texas medical branch,4,2015-02-01 - 2015-02-07,53
3,the university of texas medical branch,university texas medical branch,4,2015-02-08 - 2015-02-14,62
3,the university of texas medical branch,university texas medical branch,4,2015-02-15 - 2015-02-21,45
3,the university of texas medical branch,university texas medical branch,4,2015-02-22 - 2015-02-28,48
3,the university of texas medical branch,university texas medical branch,4,2015-03-01 - 2015-03-07,76
3,the university of texas medical branch,university texas medical branch,4,2015-03-08 - 2015-03-14,45
3,the university of texas medical branch,university texas medical branch,4,2015-03-15 - 2015-03-21,53
3,the university of texas medical branch,university texas medical branch,4,2015-03-22 - 2015-03-28,42
3,the university of texas medical branch,university texas medical branch,4,2015-03-29 - 2015-04-04,77
3,the university of texas medical branch,university texas medical branch,4,2015-04-05 - 2015-04-11,51
3,the university of texas medical branch,university texas medical branch,4,2015-04-12 - 2015-04-18,53
3,the university of texas medical branch,university texas medical branch,4,2015-04-19 - 2015-04-25,53
3,the university of texas medical branch,university texas medical branch,4,2015-04-26 - 2015-05-02,46
3,the university of texas medical branch,university texas medical branch,4,2015-05-03 - 2015-05-09,74
3,the university of texas medical branch,university texas medical branch,4,2015-05-10 - 2015-05-16,61
3,the university of texas medical branch,university texas medical branch,4,2015-05-17 - 2015-05-23,43
3,the university of texas medical branch,university texas medical branch,4,2015-05-24 - 2015-05-30,55
3,the university of texas medical branch,university texas medical branch,4,2015-05-31 - 2015-06-06,51
3,the university of texas medical branch,university texas medical branch,4,2015-06-07 - 2015-06-13,47
3,the university of texas medical branch,university texas medical branch,4,2015-06-14 - 2015-06-20,52
3,the university of texas medical branch,university texas medical branch,4,2015-06-21 - 2015-06-27,70
3,the university of texas medical branch,university texas medical branch,4,2015-06-28 - 2015-07-04,38
3,the university of texas medical branch,university texas medical branch,4,2015-07-05 - 2015-07-11,55
3,the university of texas medical branch,university texas medical branch,4,2015-07-12 - 2015-07-18,65
3,the university of texas medical branch,university texas medical branch,4,2015-07-19 - 2015-07-25,55
3,the university of texas medical branch,university texas medical branch,4,2015-07-26 - 2015-08-01,36
3,the university of texas medical branch,university texas medical branch,4,2015-08-02 - 2015-08-08,55
3,the university of texas medical branch,university texas medical branch,4,2015-08-09 - 2015-08-15,54
3,the university of texas medical branch,university texas medical branch,4,2015-08-16 - 2015-08-22,43
3,the university of texas medical branch,university texas medical branch,4,2015-08-23 - 2015-08-29,62
3,the university of texas medical branch,university texas medical branch,4,2015-08-30 - 2015-09-05,76
3,the university of texas medical branch,university texas medical branch,4,2015-09-06 - 2015-09-12,72
3,the university of texas medical branch,university texas medical branch,4,2015-09-13 - 2015-09-19,45
3,the university of texas medical branch,university texas medical branch,4,2015-09-20 - 2015-09-26,51
3,the university of texas medical branch,university texas medical branch,4,2015-09-27 - 2015-10-03,59
3,the university of texas medical branch,university texas medical branch,4,2015-10-04 - 2015-10-10,58
3,the university of texas medical branch,university texas medical branch,4,2015-10-11 - 2015-10-17,71
3,the university of texas medical branch,university texas medical branch,4,2015-10-18 - 2015-10-24,56
3,the university of texas medical branch,university texas medical branch,4,2015-10-25 - 2015-10-31,74
3,the university of texas medical branch,university texas medical branch,4,2015-11-01 - 2015-11-07,65
3,the university of texas medical branch,university texas medical branch,4,2015-11-08 - 2015-11-14,47
3,the university of texas medical branch,university texas medical branch,4,2015-11-15 - 2015-11-21,62
3,the university of texas medical branch,university texas medical branch,4,2015-11-22 - 2015-11-28,50
3,the university of texas medical branch,university texas medical branch,4,2015-11-29 - 2015-12-05,42
3,the university of texas medical branch,university texas medical branch,4,2015-12-06 - 2015-12-12,52
3,the university of texas medical branch,university texas medical branch,4,2015-12-13 - 2015-12-19,56
3,the university of texas medical branch,university texas medical branch,4,2015-12-20 - 2015-12-26,22
3,the university of texas medical branch,university texas medical branch,4,2015-12-27 - 2016-01-02,31
3,the university of texas medical branch,university texas medical branch,4,2016-01-03 - 2016-01-09,58
3,the university of texas medical branch,university texas medical branch,4,2016-01-10 - 2016-01-16,47
3,the university of texas medical branch,university texas medical branch,4,2016-01-17 - 2016-01-23,57
3,the university of texas medical branch,university texas medical branch,4,2016-01-24 - 2016-01-30,85
3,the university of texas medical branch,university texas medical branch,4,2016-01-31 - 2016-02-06,58
3,the university of texas medical branch,university texas medical branch,4,2016-02-07 - 2016-02-13,56
3,the university of texas medical branch,university texas medical branch,4,2016-02-14 - 2016-02-20,40
3,the university of texas medical branch,university texas medical branch,4,2016-02-21 - 2016-02-27,41
3,the university of texas medical branch,university texas medical branch,4,2016-02-28 - 2016-03-05,54
3,the university of texas medical branch,university texas medical branch,4,2016-03-06 - 2016-03-12,24
3,the university of texas medical branch,university texas medical branch,4,2016-03-13 - 2016-03-19,40
3,the university of texas medical branch,university texas medical branch,4,2016-03-20 - 2016-03-26,80
3,the university of texas medical branch,university texas medical branch,4,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
3,the university of texas medical branch,university texas medical branch,4,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
3,the university of texas medical branch,university texas medical branch,4,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
3,the university of texas medical branch,university texas medical branch,4,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
3,the university of texas medical branch,university texas medical branch,4,,
,,,,,
,,,,,
,,,,,
,,,,,
3,the university of texas medical branch,university texas medical branch,4,,
,,,,,
,,,,,
,,,,,
3,the university of texas medical branch,university texas medical branch,4,,
,,,,,
,,,,,
3,the university of texas medical branch,university texas medical branch,4,,
,,,,,
3,the university of texas medical branch,university texas medical branch,4,,
6,the university of texas medical branch,utmb,7,2013-03-31 - 2013-04-06,69
6,the university of texas medical branch,utmb,7,2013-04-07 - 2013-04-13,64
6,the university of texas medical branch,utmb,7,2013-04-14 - 2013-04-20,72
6,the university of texas medical branch,utmb,7,2013-04-21 - 2013-04-27,67
6,the university of texas medical branch,utmb,7,2013-04-28 - 2013-05-04,68
